name,Eventos,Valor Empenhado,Grupo
Amaraji/PE,11,0.0,No earmark
Angelim/PE,1,0.0,No earmark
Barreiros/PE,3,0.0,No earmark
Belém de Maria/PE,1,0.0,No earmark
Bezerros/PE,1,0.0,No earmark
Bom Conselho/PE,1,0.0,No earmark
Bonito/PE,2,0.0,No earmark
Brejo da Madre de Deus/PE,4,0.0,No earmark
Camaragibe/PE,4,0.0,No earmark
Caruaru/PE,1,0.0,No earmark
Catende/PE,1,0.0,No earmark
Correntes/PE,2,0.0,No earmark
Cortês/PE,2,0.0,No earmark
Gameleira/PE,3,0.0,No earmark
Goiana/PE,2,0.0,No earmark
Igarassu/PE,1,0.0,No earmark
Ingazeira/PE,1,0.0,No earmark
Ipojuca/PE,47,0.0,No earmark
Ipubi/PE,1,0.0,No earmark
Itaíba/PE,1,0.0,No earmark
Ilha de Itamaracá/PE,2,0.0,No earmark
Itapissuma/PE,1,500000.0,Received
Jaboatão dos Guararapes/PE,2,5000000.0,Received
Jaqueira/PE,3,0.0,No earmark
Jataúba/PE,1,0.0,No earmark
Joaquim Nabuco/PE,4,0.0,No earmark
Manari/PE,1,0.0,No earmark
Maraial/PE,1,0.0,No earmark
Palmares/PE,1,0.0,No earmark
Parnamirim/PE,1,0.0,No earmark
Passira/PE,1,0.0,No earmark
Paulista/PE,1,0.0,No earmark
Petrolina/PE,5,0.0,No earmark
Primavera/PE,8,0.0,No earmark
Quipapá/PE,2,0.0,No earmark
Riacho das Almas/PE,1,0.0,No earmark
Ribeirão/PE,3,0.0,No earmark
Rio Formoso/PE,1,0.0,No earmark
Santa Cruz do Capibaribe/PE,1,0.0,No earmark
São Benedito do Sul/PE,4,0.0,No earmark
São João/PE,1,0.0,No earmark
São José da Coroa Grande/PE,2,0.0,No earmark
São Lourenço da Mata/PE,1,0.0,No earmark
São Vicente Ferrer/PE,1,0.0,No earmark
Sertânia/PE,1,0.0,No earmark
Tamandaré/PE,6,0.0,No earmark
Taquaritinga do Norte/PE,2,0.0,No earmark
Timbaúba/PE,1,0.0,No earmark
Trindade/PE,1,0.0,No earmark
Triunfo/PE,1,0.0,No earmark
Vicência/PE,2,0.0,No earmark
Xexéu/PE,2,0.0,No earmark
Atalaia/AL,1,0.0,No earmark
Barra de Santo Antônio/AL,1,0.0,No earmark
Barra de São Miguel/AL,1,0.0,No earmark
Branquinha/AL,1,0.0,No earmark
Cajueiro/AL,1,0.0,No earmark
Capela/AL,1,0.0,No earmark
Colônia Leopoldina/AL,1,0.0,No earmark
Coqueiro Seco/AL,2,0.0,No earmark
Ibateguara/AL,1,0.0,No earmark
Igreja Nova/AL,1,0.0,No earmark
Jacuípe/AL,1,0.0,No earmark
Jequiá da Praia/AL,2,0.0,No earmark
Joaquim Gomes/AL,1,0.0,No earmark
Jundiá/AL,1,0.0,No earmark
Maceió/AL,1,0.0,No earmark
